  N             L               E(X)
 227   29.04318799740076429   3.475425e-28
 237   29.49831633910000050   5.768545e-30
 221   28.64797038570543108   2.016033e-28
 212   27.94337357784553433   2.346713e-27
 231   29.24853429039999853   1.331203e-30
 238   29.52843242000000146   7.395571e-31
 248   30.18346609223613086   3.461127e-29
 217   28.18689258190000047   2.376443e-29
 256   30.72474589130782974   1.302656e-27
 396   37.97520234771380387   2.199936e-28
 398   38.05349685263016113   6.212280e-29
 399   38.12842345511599262   5.403697e-29
 259   30.95940502533565564   2.865291e-27
 236   29.48310057750000013   1.484045e-29
 400   38.16428699272113079   6.469152e-28
 239   29.62082328242454210   5.955900e-29
 397   38.02324599010000128   1.468760e-28
 280   31.97891545273765956   1.676329e-30
 267   31.26200881209999949   1.094545e-29
 275   31.72769695947540214   3.574526e-29
 232   29.33161517481644509   1.020589e-29
 263   31.13522139813440859   4.634558e-30
 214   27.98073035090000005   2.021456e-30
 245   29.94267626819999961   3.944305e-31
 249   30.33035780133867831   2.690509e-28
 250   30.41381010919999994   1.538279e-29
 220   28.57962330799999862   1.676329e-30
 224   28.79101200194750021   3.971422e-28
 276   31.83520451260000073   9.515635e-30
 223   28.74492548070000097   1.617165e-29
 265   31.21751237730000028   2.810317e-29
 271   31.43771336721280107   1.666271e-27
 229   29.14241385309999899   1.232595e-30
 283   32.32894650470848319   1.922848e-30
 228   29.11345512660000168   5.768545e-30
 240   29.66627934963646140   3.747089e-29
 255   30.68839519960186379   8.406792e-28
 278   31.89662154820976525   8.214014e-29
 244   29.91248776759999828   4.733165e-30
 274   31.67421541173488819   2.706779e-29
 230   29.18613936680768006   7.321615e-29
 287   32.50256586980999174   2.150632e-28
 500   42.61714566402916660   3.371641e-27
 291   32.71322377060020870   7.534115e-28
 242   29.75294787163874588   2.726501e-28
 288   32.57199860913414113   1.185313e-27
 294   32.82717512630348011   2.110696e-28
 210   27.86526494021513400   2.310869e-28
 301   33.10718875073030176   6.828577e-28
 302   33.11467407560810727   3.022323e-29
 305   33.36564190539999686   2.682127e-29
 311   33.76382195400000086   2.761013e-30
 319   34.24470131729999878   2.154576e-29
 328   34.62725870010000051   4.368317e-29
 336   34.92305238210000340   2.312349e-29
 344   35.49495426711675350   2.810810e-28
 337   34.94215225140000314   1.745355e-29
 360   36.29605754359999992   2.046108e-29
 368   36.47630134731834772   2.908925e-30
 375   36.90576328231405512   3.133257e-28
 293   32.80374732644043689   2.026584e-27
 383   37.42710460250000182   2.189089e-29
 286   32.45362628950000072   1.232595e-30
 222   28.68866781142181210   1.380507e-30
 260   30.97626404500000064   1.937640e-29
 253   30.59141778060000050   1.232595e-29
 264   31.19832078090523808   2.025893e-28
 285   32.44089858480612065   5.472723e-30
 251   30.48861524271864454   6.921268e-28
 281   32.18078157810000306   9.318419e-30
 219   28.50343871409999963   2.908925e-30
 295   32.84722079320000176   3.451266e-30
 243   29.86068399833200004   5.975128e-28
 252   30.55459485409999942   1.360785e-29
 247   29.97973187261637662   8.370800e-28
 284   32.37167153410470632   5.423419e-31
 391   37.76975304959999846   3.993608e-29
 307   33.52816003139999879   2.711709e-30
 312   33.80047755160932610   3.133257e-28
 358   36.15754167880000125   1.153709e-28
 341   35.27643645959999930   1.429810e-29
 355   36.07557395399999933   3.673134e-29
 246   29.96708368739344408   3.954165e-29
 211   27.89519515232608171   4.309153e-29
 367   36.46105936402251757   7.124400e-29
 279   31.93008278761453056   2.150632e-28
 372   36.69463806573519804   1.516585e-28
 340   34.99235896510000288   1.671399e-29
 348   35.68549503269999690   2.376443e-29
 277   31.87560574494608900   1.007277e-28
 258   30.89123891830000090   2.021456e-30
 272   31.55303091494784695   3.335403e-28
 290   32.61966767607137285   2.476530e-28
 262   31.06169087179999977   8.825381e-30
 270   31.33123557960283989   2.677197e-29
 361   36.31602104969999800   5.004336e-29
 370   36.61690417239999817   5.822780e-29
 345   35.55786190429999749   2.228532e-29
 384   37.48014518130000283   1.276969e-29
 382   37.36781591161580707   4.772214e-27
 315   33.97735563959999894   6.902533e-31
 363   36.36517217330000307   1.740424e-29
 366   36.44898562164101463   2.103350e-27
 395   37.96026310070918441   9.525002e-28
 323   34.44394240009999919   1.656608e-29
 376   36.93388906512132053   4.585550e-27
 381   37.31794662810000318   6.330609e-29
 308   33.58162467900000081   6.853229e-30
 359   36.21408097980000207   2.588450e-29
 257   30.81843365499999976   2.761013e-30
 225   28.87270162140000096   1.227665e-29
 261   31.02051386759999829   5.965761e-30
 292   32.77137728802664185   7.699775e-28
 235   29.41249823502331395   3.116001e-29
 241   29.69307867811199486   1.035873e-28
 273   31.60502860549999937   2.519425e-29
 234   29.39929720450000161   5.965761e-30
 218   28.39627420403412827   3.805268e-28
 266   31.25298966580351490   9.833151e-28
 269   31.31476241920000092   9.860761e-31
 289   32.60773586999999907   1.533348e-29
 268   31.29027421030000156   6.310887e-30
 226   28.97723792540000076   2.415887e-29
 254   30.62912231133840990   5.136964e-28
 233   29.37141729369999865   6.409495e-31
 282   32.24736782789999978   1.198082e-29
 313   33.81964749920000202   1.084684e-30
 357   36.14390017372756603   2.907791e-27
 373   36.78309461330000119   1.784798e-29
 322   34.36374360469999800   4.871216e-29
 343   35.42452891203580378   4.131166e-28
 331   34.75731775603116347   7.725906e-29
 306   33.43377537052626991   1.345905e-26
 350   35.77146107650000317   1.597443e-29
 392   37.83656698971296350   2.080621e-28
 390   37.69658975549999980   1.567861e-29
 335   34.88881315414141682   3.173193e-28
 309   33.65305958410407783   2.621040e-27
 326   34.53094966089999929   1.641817e-29
 364   36.36792125739999904   1.321342e-29
 354   36.00633617451384794   1.512887e-27
 303   33.12659152810374508   5.590559e-28
 321   34.30414608880000316   6.532754e-29
 374   36.86020980370000188   6.310887e-30
 379   37.16335809710000149   3.357589e-29
 362   36.35119920510000213   4.338735e-30
 349   35.71892430260000140   2.415887e-30
 387   37.56198804520045087   9.895274e-28
 386   37.55364445253410111   3.844021e-27
 310   33.70687474310000198   1.227665e-29
 353   35.98479965810000181   2.386304e-29
 377   36.95144320219999656   6.064368e-30
 332   34.79043777853778607   1.700981e-29
 317   34.13924439089999652   2.085551e-29
 371   36.63069006070858791   1.553070e-29
 347   35.65329713050417126   4.031079e-28
 318   34.21208749260379989   1.829171e-29
 351   35.79367575589999717   8.687331e-29
 334   34.84825239220000270   1.597443e-29
 304   33.13240207799999837   2.120064e-30
 393   37.89948824272794781   2.000748e-28
 380   37.25472825241372021   2.489596e-27
 394   37.93027213740000292   6.133394e-29
 325   34.49591852472728704   8.058411e-27
 327   34.59157961580000062   1.111801e-28
 314   33.86312809451887773   1.097108e-27
 316   34.06648858954318371   4.245058e-29
 388   37.62642139119999740   5.457931e-29
 329   34.64000692435031681   1.286829e-29
 324   34.46929343690000280   4.437343e-30
 338   34.97460975999999988   6.951837e-30
 342   35.34999259939999661   3.106140e-30
 378   36.96438768782221018   1.160168e-27
 352   35.91574320010000321   6.542615e-29
 369   36.57519035520000017   4.683862e-30
 320   34.29625894429999988   2.465190e-30
 389   37.66821136250000279   4.851495e-29
 365   36.43090387090000348   1.390367e-29
 346   35.61571686789999802   1.533348e-29
 330   34.66538565569999975   6.261583e-30
 385   37.52028882390000319   3.766811e-29
 333   34.82446705760000327   1.863684e-29
 339   34.98729252180000060   1.424880e-29
 356   36.09803850459999808   1.486510e-28
