  N             L               E(X)
  -------------------------------------------
  51   14.07595478643984599   0.000000e+00
  52   14.09290461259999994   0.000000e+00
  53   14.29648718673547947   8.381647e-31
  54   14.56758878253429579   4.486646e-30
  55   14.69391965293330493   4.437343e-31
  56   14.80766406829999937   9.860761e-32
  57   14.92428764722218482   2.465190e-31
  58   15.09821758652991974   4.437343e-31
  59   15.19583705584517119   1.922848e-29
  60   15.37742049110000053   9.860761e-31
  61   15.46401264390000030   6.902533e-31
  62   15.56367346180000055   1.479114e-31
  63   15.62218600373976152   0.000000e+00
  64   15.75820936041592191   9.860761e-31
  65   15.82179417759999929   8.874685e-31
  66   15.90779665661981923   1.972152e-31
  67   15.97764930299999975   9.860761e-32
  76   17.18256607189999841   2.958228e-31
  70   16.50255055312100794   2.563798e-30
  80   17.43050505451860843   1.656608e-29
  72   16.72212779779999892   4.437343e-31
  81   17.58398781724480386   4.930381e-31
  68   15.99486168324013491   2.908925e-30
  74   16.92552097602361982   2.415887e-29
  73   16.84464420621397451   2.213741e-29
  71   16.63989547330000107   1.035380e-30
  83   17.81598379184299219   9.564938e-30
  84   17.90296617414260183   0.000000e+00
  69   16.29100380672619508   0.000000e+00
  77   17.28531443230000164   3.303355e-30
  79   17.38873450601533932   6.902533e-31
  75   17.09561406364133163   3.012463e-29
  82   17.69527167820798397   2.465190e-31
  85   17.95971148519999971   3.944305e-31
  86   17.99434996460000136   0.000000e+00
  78   17.33027863944611724   1.774937e-30
  87   18.28312005660000139   1.577722e-30
  88   18.38011052953425661   6.064368e-30
  89   18.53669791874363781   9.860761e-32
  90   18.60466905559999873   1.133988e-30
  91   18.69273484732764956   7.395571e-31
  92   18.75571398399999978   7.691394e-30
  95   19.07658565519685112   4.338735e-30
  94   18.94105747840000120   3.007532e-30
  96   19.12944736481081520   6.705318e-30
  97   19.18840878800035554   1.035380e-30
  93   18.89415054033091579   1.819310e-29
  98   19.21857737074781269   3.101209e-29
  99   19.23868430319999945   1.479114e-31
 100   19.45484725280000049   7.395571e-31
 101   19.57776388483329555   1.133988e-30
 102   19.69495623650000127   7.888609e-31
 103   19.78846228494075277   1.493905e-29
 104   19.86144938460000020   3.106140e-30
 105   19.90329056190000045   4.437343e-31
 106   19.99392167739999948   4.930381e-31
 107   20.19950368823829123   9.515635e-30
 108   20.30724010022467141   3.944305e-31
 110   20.50042802700000166   2.070760e-30
 109   20.38318222019999837   1.133988e-30
 111   20.55754684260000076   1.331203e-30
 112   20.64179216512459547   1.133988e-30
 113   20.72212953895214227   2.514494e-29
 114   20.76077635660000098   5.472723e-30
 115   20.87061889550000160   1.380507e-30
 116   20.93102847532430388   2.958228e-31
 117   20.98921031580000118   1.676329e-30
 118   21.02060826199999966   9.860761e-31
 119   21.03286236299999956   5.916457e-31
 120   21.03937828060000115   8.874685e-31
 121   21.32559941990000141   8.381647e-31
 122   21.44694327450000060   2.958228e-31
 123   21.57553383272118808   1.972152e-30
 124   21.69209059119999949   1.232595e-30
 196   26.99246722499999862   2.958228e-30
 197   27.12109121130000133   1.380507e-30
 198   27.19483594333921772   2.748194e-28
 125   21.74937318751872795   1.846921e-28
 126   21.82038057981433354   8.874685e-31
 127   21.89915149453869603   1.937640e-29
 128   21.99094009090908131   3.056836e-29
 129   22.12372197370000038   0.000000e+00
 199   27.27216320150801110   1.662968e-27
 130   22.20092806890000148   1.774937e-30
 131   22.27804984294304447   7.449805e-29
 132   22.34818107270881526   1.084684e-30
 200   27.31285315352232246   5.870999e-27
 133   22.41667865020000150   5.028988e-30
 134   22.43951440861078339   2.958228e-31
 135   22.50670793869999997   1.380507e-30
 136   22.54623538450000098   7.395571e-31
 137   22.57691889031403676   9.701017e-28
 139   22.75533295520000010   5.867153e-30
 140   22.82852809419999929   1.429810e-30
 138   22.71068556870000066   1.972152e-30
 141   22.90506330239999855   1.380507e-30
 143   22.97239237503512754   4.496507e-29
 142   22.94807875903332217   2.539146e-29
 144   23.25376756301048076   2.467656e-28
 145   23.32559724982744598   1.725633e-30
 146   23.44595183419999884   5.078292e-30
 147   23.55879573342105004   2.386304e-29
 148   23.62378419392391393   1.227665e-29
 149   23.66759560259999873   6.409495e-31
 150   23.72734477154762089   2.524355e-28
 159   24.32250666804061723   2.020470e-28
 157   24.25986238699999831   4.388039e-30
 156   24.21344528299999865   2.070760e-30
 160   24.36374338103636816   2.174298e-29
 163   24.58137642779999865   1.272038e-29
 153   24.00460975804231012   2.169367e-30
 165   24.76624130213965813   1.000867e-29
 158   24.29561337870000060   4.437343e-31
 154   24.06627089499999883   9.367723e-31
 162   24.51033700920346803   3.111070e-29
 168   24.93616296529999943   1.084684e-30
 169   25.12222402920000164   6.902533e-30
 170   25.25269717979999839   5.226203e-30
 171   25.32559465530000153   2.958228e-30
 172   25.40446068469999830   1.972152e-30
 174   25.52352383024369686   1.778881e-28
 192   26.70630925060000038   1.528418e-30
 151   23.82251439160471307   9.707920e-29
 178   25.81940298479999996   9.860761e-31
 186   26.15480637863296565   8.901802e-28
 195   26.87206337112588628   1.824241e-30
 176   25.64706687540786945   3.116001e-28
 185   26.14703866019999978   1.084684e-30
 155   24.13241594489999997   2.021456e-30
 175   25.60091808212995090   1.597443e-29
 188   26.18580922519999987   1.020589e-29
 152   23.93500986403575226   9.121204e-30
 183   26.07235096814120823   1.982013e-29
 194   26.83648027392998614   4.886007e-29
 177   25.73369778640029537   6.902533e-30
 190   26.52801359730487363   1.025519e-29
 184   26.12216048100000165   1.873545e-30
 193   26.79237495599999974   2.218671e-30
 191   26.63532394684290239   6.601780e-29
 181   25.97526048880000005   9.367723e-31
 166   24.85229804669999965   3.599178e-30
 189   26.40853018292160570   1.444602e-29
 173   25.47671165950000116   1.262177e-29
 182   26.02968150750000120   2.563798e-30
 164   24.67609396003529554   1.977083e-29
 167   24.90756716639999979   1.774937e-30
 187   26.17728097174442681   3.658342e-29
 161   24.38408973359999976   1.488975e-29
 179   25.85143755824755019   3.895001e-30
 180   25.89324453062492637   1.658087e-28
 201   27.34511902282011064   4.493056e-28
 202   27.40855498119999822   4.930381e-31
 203   27.49059614922240158   2.088016e-28
 204   27.52338197739999970   4.634558e-30
 205   27.56725011653719548   3.319132e-28
 296   32.93996554064207061   2.968582e-28
 206   27.64981906039999870   5.867153e-30
 207   27.67731169320000006   1.479114e-30
 208   27.71021875390000133   2.662406e-30
 297   32.99017086473216409   1.022610e-27
 216   27.99989034548740818   2.441559e-26
 299   33.05864883794505005   6.164948e-28
 298   33.02473066512460065   3.919653e-29
 300   33.09115493884109327   7.109609e-29
 215   27.99945701740000104   4.930381e-32
 213   27.96730167759999830   6.162976e-30
 209   27.81632856079999883   3.056836e-30
